Date,Open,High,Low,Close,Adj Close,Volume
2017-12-26,25.700001,26.049999,25.629999,25.950001,25.950001,2547300
2017-12-27,26.040001,26.120001,25.809999,25.870001,25.870001,2332200
2017-12-28,25.860001,26.040001,25.700001,26.030001,26.030001,3186600
2017-12-29,26.000000,26.250000,25.969999,26.080000,26.080000,3010700
2018-01-02,26.080000,26.160000,25.790001,25.910000,25.910000,3661700
2018-01-03,25.980000,26.120001,25.790001,25.900000,25.900000,2804300
2018-01-04,25.900000,25.950001,25.219999,25.260000,25.260000,3702800
2018-01-05,25.209999,25.230000,24.750000,25.010000,25.010000,4060800
2018-01-08,25.059999,25.180000,24.910000,25.030001,25.030001,3631700
2018-01-09,25.040001,25.070000,24.480000,24.500000,24.500000,4296800
2018-01-10,24.450001,24.450001,24.190001,24.360001,24.360001,3465300
2018-01-11,24.420000,24.610001,24.100000,24.170000,24.170000,5544000
2018-01-12,24.120001,24.150000,23.610001,23.639999,23.639999,5103400
2018-01-16,23.750000,24.080000,23.700001,23.719999,23.719999,3902400
2018-01-17,23.860001,23.860001,23.490000,23.719999,23.719999,3860000
2018-01-18,23.610001,23.660000,23.309999,23.330000,23.330000,4207200
2018-01-19,23.350000,23.440001,23.160000,23.420000,23.420000,3573300
2018-01-22,23.389999,23.730000,23.360001,23.650000,23.650000,3697300
