Date,Open,High,Low,Close,Adj Close,Volume
2017-12-26,24.260000,24.570000,24.129999,24.260000,24.260000,10123100
2017-12-27,24.260000,24.540001,24.070000,24.230000,24.230000,9118100
2017-12-28,24.250000,24.600000,24.170000,24.309999,24.309999,9774700
2017-12-29,24.270000,24.330000,23.910000,24.010000,24.010000,10393700
2018-01-02,24.070000,24.570000,23.850000,24.510000,24.510000,15297200
2018-01-03,24.559999,24.680000,24.070000,24.450001,24.450001,12832600
2018-01-04,24.500000,24.590000,23.690001,23.990000,23.990000,17653500
2018-01-05,24.070000,24.570000,23.879999,24.320000,24.320000,14953200
2018-01-08,24.370001,24.780001,23.879999,24.590000,24.590000,17831300
2018-01-09,24.629999,24.709999,24.070000,24.170000,24.170000,12587100
2018-01-10,24.000000,24.420000,23.760000,24.250000,24.250000,10420700
2018-01-11,24.299999,24.370001,23.900000,24.350000,24.350000,11670400
2018-01-12,24.940001,25.850000,24.930000,25.410000,25.410000,37046100
2018-01-16,25.580000,25.709999,24.510000,24.660000,24.660000,32340700
2018-01-17,24.840000,24.950001,24.219999,24.559999,24.559999,17026700
2018-01-18,24.500000,24.520000,23.719999,24.040001,24.040001,21118500
2018-01-19,24.120001,24.219999,23.500000,23.660000,23.660000,17529700
2018-01-22,23.170000,23.500000,22.860001,23.320000,23.320000,23010600
2018-01-23,22.510000,23.170000,22.410000,22.750000,22.750000,35321200
2018-01-24,22.840000,23.049999,22.100000,22.370001,22.370001,23163300
